08BEAC0A06E6	臺南市市立建興國中	[700]臺南市中西區府前路一段239號
08BEAC0A06F8	臺南市市立中山國中	[700]臺南市中西區南寧街45號
08BEAC0A0704	臺南市市立崇明國中	[701]臺南市東區崇明路700號
08BEAC0A0750	臺南市市立忠孝國中	[701]臺南市東區崇善路151號
08BEAC0A061C	臺南市市立後甲國中	[701]臺南市東區林森路二段260號
08BEAC0A0618	臺南市市立復興國中	[701]臺南市東區裕文路62號
08BEAC0A06C4	臺南市市立大成國中	[702]臺南市南區西門路一段306號
08BEAC0A06A6	臺南市市立新興國中	[702]臺南市南區新孝路87號
08BEAC0A0246	臺南市市立延平國中	[704]臺南市北區公園路750號
08BEAC0A0738	臺南市市立成功國中	[704]臺南市北區和緯路一段2號
08BEAC0A03B4	臺南市市立文賢國中	[704]臺南市北區文賢一路2號
08BEAC0A02FE	臺南市市立民德國中	[704]臺南市北區西門路三段223號
08BEAC0A0550	臺南市市立安平國中	[708]臺南市安平區慶平路687號
08BEAC0A05C8	臺南市市立金城國中	[708]臺南市安平區怡平路8號
08BEAC0A05DE	臺南市市立海佃國中	[709]臺南市安南區安富街166號
08BEAC0A0566	臺南市市立安順國中	[709]臺南市安南區安和路三段227號
08BEAC0A0596	臺南市市立和順國中	[709]臺南市安南區安和路五段84巷66號
08BEAC0A0564	臺南市市立安南國中	[709]臺南市安南區安中路三段252號
08BEAC0A054C	臺南市市立大橋國中	[710]臺南市永康區東橋十街1號
08BEAC0A080C	臺南市市立永康國中	[710]臺南市永康區中山路43號
08BEAC0A05C2	臺南市市立歸仁國中	[711]臺南市歸仁區文化里文化街二段2號
08BEAC0A0544	臺南市市立沙崙國中	[711]臺南市歸仁區武東里歸仁六路2號
08BEAC0A02EE	臺南市市立新化國中	[712]臺南市新化區中興路722號
08BEAC0A078E	臺南市市立左鎮國中	[713]臺南市左鎮區中正里170號
08BEAC0A0642	臺南市市立玉井國中	[714]臺南市玉井區大成路152號
08BEAC0A082E	臺南市市立楠西國中	[715]臺南市楠西區中興路107號
